letter,fingerprint
з,"[(np.int64(4), np.int64(40), np.int64(3))]"
г,"[(np.int64(46), np.int64(5), np.int64(2))]"
в,[]
а,"[(np.int64(158), np.int64(29), np.int64(2)), (np.int64(158), np.int64(0), np.int64(9)), (np.int64(29), np.int64(0), np.int64(7))]"
б,"[(np.int64(4), np.int64(19), np.int64(5)), (np.int64(4), np.int64(38), np.int64(5))]"
м,"[(np.int64(5), np.int64(22), np.int64(4))]"
н,"[(np.int64(37), np.int64(5), np.int64(9)), (np.int64(5), np.int64(36), np.int64(3)), (np.int64(5), np.int64(51), np.int64(3))]"
п,[]
о,[]
к,"[(np.int64(0), np.int64(41), np.int64(5)), (np.int64(0), np.int64(196), np.int64(9)), (np.int64(41), np.int64(196), np.int64(4))]"
л,"[(np.int64(40), np.int64(4), np.int64(3))]"
и,[]
ш,"[(np.int64(1), np.int64(89), np.int64(5)), (np.int64(1), np.int64(44), np.int64(7)), (np.int64(1), np.int64(60), np.int64(9)), (np.int64(1), np.int64(77), np.int64(9)), (np.int64(1), np.int64(142), np.int64(9)), (np.int64(89), np.int64(44), np.int64(2)), (np.int64(89), np.int64(60), np.int64(4)), (np.int64(89), np.int64(77), np.int64(4)), (np.int64(89), np.int64(142), np.int64(4)), (np.int64(89), np.int64(158), np.int64(4)), (np.int64(44), np.int64(60), np.int64(2)), (np.int64(44), np.int64(77), np.int64(2)), (np.int64(44), np.int64(142), np.int64(2)), (np.int64(44), np.int64(158), np.int64(2)), (np.int64(44), np.int64(205), np.int64(2)), (np.int64(142), np.int64(176), np.int64(1)), (np.int64(158), np.int64(176), np.int64(1)), (np.int64(158), np.int64(22), np.int64(2)), (np.int64(205), np.int64(176), np.int64(1)), (np.int64(205), np.int64(22), np.int64(2)), (np.int64(205), np.int64(131), np.int64(2)), (np.int64(265), np.int64(176), np.int64(1)), (np.int64(265), np.int64(22), np.int64(2)), (np.int64(265), np.int64(131), np.int64(2)), (np.int64(265), np.int64(223), np.int64(2)), (np.int64(351), np.int64(176), np.int64(1)), (np.int64(351), np.int64(22), np.int64(2)), (np.int64(351), np.int64(131), np.int64(2)), (np.int64(351), np.int64(223), np.int64(2)), (np.int64(351), np.int64(246), np.int64(2)), (np.int64(176), np.int64(22), np.int64(1)), (np.int64(176), np.int64(131), np.int64(1)), (np.int64(176), np.int64(223), np.int64(1)), (np.int64(176), np.int64(246), np.int64(1))]"
щ,"[(np.int64(0), np.int64(159), np.int64(4)), (np.int64(0), np.int64(146), np.int64(6)), (np.int64(0), np.int64(247), np.int64(6)), (np.int64(0), np.int64(125), np.int64(8)), (np.int64(0), np.int64(195), np.int64(8)), (np.int64(159), np.int64(146), np.int64(2)), (np.int64(159), np.int64(247), np.int64(2)), (np.int64(159), np.int64(125), np.int64(4)), (np.int64(159), np.int64(195), np.int64(4)), (np.int64(159), np.int64(314), np.int64(4)), (np.int64(146), np.int64(125), np.int64(2)), (np.int64(146), np.int64(195), np.int64(2)), (np.int64(146), np.int64(314), np.int64(2)), (np.int64(146), np.int64(46), np.int64(3)), (np.int64(247), np.int64(125), np.int64(2)), (np.int64(247), np.int64(195), np.int64(2)), (np.int64(247), np.int64(314), np.int64(2)), (np.int64(247), np.int64(46), np.int64(3)), (np.int64(247), np.int64(271), np.int64(3)), (np.int64(125), np.int64(46), np.int64(1)), (np.int64(125), np.int64(271), np.int64(1)), (np.int64(125), np.int64(299), np.int64(1)), (np.int64(195), np.int64(46), np.int64(1)), (np.int64(195), np.int64(271), np.int64(1)), (np.int64(195), np.int64(299), np.int64(1)), (np.int64(195), np.int64(381), np.int64(1)), (np.int64(314), np.int64(46), np.int64(1)), (np.int64(314), np.int64(271), np.int64(1)), (np.int64(314), np.int64(299), np.int64(1)), (np.int64(314), np.int64(381), np.int64(1)), (np.int64(314), np.int64(80), np.int64(2)), (np.int64(46), np.int64(80), np.int64(1)), (np.int64(46), np.int64(212), np.int64(1)), (np.int64(271), np.int64(80), np.int64(1)), (np.int64(271), np.int64(212), np.int64(1)), (np.int64(271), np.int64(112), np.int64(3)), (np.int64(299), np.int64(80), np.int64(1)), (np.int64(299), np.int64(212), np.int64(1)), (np.int64(299), np.int64(112), np.int64(3)), (np.int64(299), np.int64(19), np.int64(5)), (np.int64(381), np.int64(80), np.int64(1)), (np.int64(381), np.int64(212), np.int64(1)), (np.int64(381), np.int64(112), np.int64(3)), (np.int64(381), np.int64(19), np.int64(5)), (np.int64(381), np.int64(0), np.int64(7)), (np.int64(80), np.int64(112), np.int64(2)), (np.int64(80), np.int64(19), np.int64(4)), (np.int64(80), np.int64(0), np.int64(6)), (np.int64(212), np.int64(112), np.int64(2)), (np.int64(212), np.int64(19), np.int64(4)), (np.int64(212), np.int64(0), np.int64(6)), (np.int64(112), np.int64(19), np.int64(2)), (np.int64(112), np.int64(0), np.int64(4)), (np.int64(19), np.int64(0), np.int64(2))]"
ы,[]
